"Con heridos","Con muertos","Solo daños","Atropello","Caída Ocupante","Choque","Otro","Semana","BARRIO","grupo","categoria","color"
66,1,20,25,17,36,9,0.5977,"Aldea Pablo VI",4,"Accidentabilidad Baja","green"
198,1,433,18,19,542,53,0.8608,"Alejandría",3,"Accidentabilidad Moderada","yellow"
722,5,308,109,113,605,208,0.7121,"Alejandro Echavarría",3,"Accidentabilidad Moderada","yellow"
818,5,347,153,185,568,264,0.7222,"Alfonso López",3,"Accidentabilidad Moderada","yellow"
476,1,301,49,122,503,104,0.7776,"Altamira",3,"Accidentabilidad Moderada","yellow"
224,3,147,63,30,216,65,0.7193,"Altavista",4,"Accidentabilidad Baja","green"
167,1,156,16,24,233,51,0.8272,"Altos del Poblado",4,"Accidentabilidad Baja","green"
187,6,78,70,36,114,51,0.7085,"Andalucía",4,"Accidentabilidad Baja","green"
206,1,63,38,42,119,71,0.663,"Antonio Nariño",4,"Accidentabilidad Baja","green"
324,2,127,67,58,240,88,0.7196,"Aranjuez",4,"Accidentabilidad Baja","green"
401,4,464,29,58,664,118,0.7399,"Asomadera No. 1",3,"Accidentabilidad Moderada","yellow"
225,0,390,12,41,488,74,0.787,"Asomadera No. 2",4,"Accidentabilidad Baja","green"
59,1,73,2,8,100,23,0.7744,"Asomadera No. 3",4,"Accidentabilidad Baja","green"
1,1,0,0,0,1,1,0,"Asomadera No.1",4,"Accidentabilidad Baja","green"
113,0,210,11,2,283,27,0.8359,"Astorga",4,"Accidentabilidad Baja","green"
456,2,123,83,123,221,154,0.673,"Aures No.1",4,"Accidentabilidad Baja","green"
576,2,157,90,172,269,204,0.7238,"Aures No.2",4,"Accidentabilidad Baja","green"
139,2,80,33,20,129,39,0.7692,"B. Cerro El Volador",4,"Accidentabilidad Baja","green"
675,7,381,120,115,606,222,0.715,"Barrio Caicedo",3,"Accidentabilidad Moderada","yellow"
915,9,1175,125,120,1629,225,0.8261,"Barrio Colombia",2,"Accidentabilidad Alta Moderada","orange"
1423,14,2237,327,159,2885,303,0.7945,"Barrio Colón",1,"Accidentabilidad Alta Critica","red"
93,1,74,12,12,129,15,0.744,"Barrio Cristóbal",4,"Accidentabilidad Baja","green"
283,6,129,70,53,215,80,0.7416,"Barrio de Jesús",4,"Accidentabilidad Baja","green"
10,0,2,6,1,5,0,0.75,"Batallón Girardot",4,"Accidentabilidad Baja","green"
394,1,329,40,48,531,105,0.7431,"Belalcázar",3,"Accidentabilidad Moderada","yellow"
1253,8,1721,215,161,2304,302,0.7579,"Belén",2,"Accidentabilidad Alta Moderada","orange"
132,1,48,23,20,100,38,0.7459,"Belencito",4,"Accidentabilidad Baja","green"
245,2,120,60,44,212,51,0.7248,"Bello Horizonte",4,"Accidentabilidad Baja","green"
702,7,324,195,118,535,185,0.697,"Berlin",3,"Accidentabilidad Moderada","yellow"
184,3,70,60,27,124,46,0.7043,"Bermejal-Los Alamos",4,"Accidentabilidad Baja","green"
96,2,35,26,28,53,26,0.6917,"Betania",4,"Accidentabilidad Baja","green"
58,1,28,20,9,43,15,0.7126,"Blanquizal",4,"Accidentabilidad Baja","green"
401,4,448,54,50,660,89,0.7913,"Bolivariana",3,"Accidentabilidad Moderada","yellow"
0,0,2,0,0,2,0,0.5,"Bomboná",4,"Accidentabilidad Baja","green"
657,7,770,94,69,1128,143,0.7476,"Bomboná No.1",3,"Accidentabilidad Moderada","yellow"
265,3,165,49,48,239,97,0.709,"Bomboná No.2",4,"Accidentabilidad Baja","green"
180,1,177,21,37,248,52,0.7207,"Bosques de San Pablo",4,"Accidentabilidad Baja","green"
1457,12,1291,281,151,2051,277,0.7457,"Boston",2,"Accidentabilidad Alta Moderada","orange"
478,2,260,69,101,430,140,0.7351,"Boyacá",3,"Accidentabilidad Moderada","yellow"
460,4,178,91,61,384,106,0.6963,"Brasilia",4,"Accidentabilidad Baja","green"
729,0,461,95,87,826,182,0.7235,"Buenos Aires",3,"Accidentabilidad Moderada","yellow"
433,2,444,42,76,663,98,0.7804,"Calasanz",3,"Accidentabilidad Moderada","yellow"
282,1,238,25,61,356,79,0.7332,"Calasanz Parte Alta",4,"Accidentabilidad Baja","green"
755,7,1271,141,104,1642,146,0.8308,"Calle Nueva",2,"Accidentabilidad Alta Moderada","orange"
463,3,192,70,68,404,116,0.7751,"Campo Alegre",4,"Accidentabilidad Baja","green"
2428,29,2711,252,346,3924,646,0.8235,"Campo Amor",1,"Accidentabilidad Alta Critica","red"
1125,10,373,235,155,872,246,0.7122,"Campo Valdés No.1",3,"Accidentabilidad Moderada","yellow"
920,10,199,239,148,530,212,0.6581,"Campo Valdés No.2",3,"Accidentabilidad Moderada","yellow"
2492,25,2340,200,351,3595,711,0.7982,"Caribe",1,"Accidentabilidad Alta Critica","red"
1537,11,1799,160,242,2543,402,0.8007,"Carlos E. Restrepo",1,"Accidentabilidad Alta Critica","red"
122,1,30,50,22,44,37,0.6209,"Carpinelo",4,"Accidentabilidad Baja","green"
